NAME,Original Name,Type_name,Type_ID,Industry ,Specialities,Description,Founded,Is_Corprate,Websites,
Rocket Genomics,ROKIT Genomics,Genomics,50,Genomics and Biotechnology,"['Single Cell Sequencing', 'Genome Sequencing', 'Transcriptome Sequencing', 'Epigenome Sequencing', 'Metagenome Sequencing']","ROKIT Genomics is a leading company in the field of genomics, specializing in various advanced sequencing technologies. The company offers a range of services, including Single Cell Sequencing, Genome Sequencing, Transcriptome Sequencing, Epigenome Sequencing, and Metagenome Sequencing. These services enable researchers and healthcare professionals to understand genetic information at a detailed level, thereby contributing to advancements in personalized medicine and genomics research.",none,TRUE,https://www.rokitgenomics.com/ko/pr_center.html,
Australian Childhood Cancer Research Institute,Children's Cancer Institute,Institute,5,Healthcare / Non-profit Research,"['Childhood cancer research', 'treatment development', 'precision medicine for childhood cancer']","The Children's Cancer Institute is a leading research organization dedicated to understanding, preventing, and curing childhood cancer. With over 40 years of experience, the Institute conducts innovative research focused on the causes and treatments of childhood cancer, ultimately aimed at improving survival rates and quality of life for young patients. Its programs, such as the Zero Childhood Cancer initiative, provide comprehensive, precision medicine options to all Australian children diagnosed with cancer. Through community engagement, fundraising, and partnerships, the Institute aims to ensure that every child has the opportunity to live a long, healthy, and fulfilling life.",None,TRUE,https://www.ccia.org.au/,
ALLG,The Australasian Leukaemia & Lymphoma Group (ALLG),Association,7,Technology / Data Analytics,"['Blood cancer clinical trials', 'research', 'and support for patients and specialists.']","The Australasian Leukaemia & Lymphoma Group (ALLG) is a not-for-profit organization dedicated to improving the treatment, lives, and survival rates of patients with blood cancers through clinical trials and research. With over 1,000 members, including blood cancer specialists, ALLG conducts innovative clinical trials that provide access to potentially life-saving treatments before they are widely available. The organization also offers resources like the National Blood Cancer Registry and engages with health professionals and community members to enhance awareness and support. Driven by the motto ‘Better treatments…Better lives’, ALLG has made significant contributions over five decades to advance outcomes for patients battling blood cancers.",1973,FALSE,https://www.allg.org.au/,
Palantir Technologies Inc.,Palantir,Tech,14,Healthcare and Life Sciences,"['Data analysis', 'software development', 'big data solutions']","Palantir Technologies is a software company that specializes in big data analytics and offers products designed to integrate, visualize, and analyze data. Its primary offerings include Palantir Foundry and Palantir Gotham, which help organizations across various sectors leverage data for operational insights and decision-making. The company focuses on building tools that enable users to make sense of large amounts of information and derive actionable intelligence from it, catering to industries such as government, finance, healthcare, and beyond.",none,TRUE,https://www.palantir.com,
Takara Printing,Takara Holdings Inc.,Healthcare Provider,3,Outdoor Power Equipment,"['Not explicitly detailed', 'but associated with health care and likely includes products and services related to health improvement and safety.']","Takara Holdings Inc. is involved in various health-related sectors, focusing on healthcare services and contributing to public health initiatives. The company provides a range of products and services designed to improve health outcomes, promote wellness, and enhance the quality of life. Takara Holdings is dedicated to implementing innovative solutions in healthcare and promoting accessible healthcare services to the community, addressing diverse health needs through its offerings.",None,TRUE,http://www.takara.co.jp/,
Briggs & Stratton,Briggs & Stratton,Manufacturing,82,Healthcare / Cardiology,"['Outdoor power equipment', 'small engines', 'generators', 'energy storage', 'lawn and garden products', 'pressure washers', 'snow blowers.']","Briggs & Stratton is a long-established company with over 110 years of experience, recognized as the world's largest producer of small engines and a leader in outdoor power equipment. The company offers a wide range of products including residential and commercial engines, generators, energy storage solutions, pressure washers, snow blowers, and other related power equipment. They provide various services such as owner support, parts lookup, product registration, and maintenance how-to guides, ensuring that customers receive assistance and resources to maintain their equipment effectively. With a vast service network, Briggs & Stratton is trusted by millions globally, committed to innovation and quality in their products.",None,TRUE,https://www.briggsandstratton.com,
"Kwajalein Atoll Government, US Coast Guard Cadets",,,#N/A,,,,,TRUE,,
Buena Vida y Salud ACO,"Buena Vida y Salud, LLC",Healthcare Provider,3,Biotechnology,"['Accountable Care Organization (ACO)', 'coordinated healthcare', 'patient-centered medical home']","Buena Vida y Salud is an Accountable Care Organization (ACO) established as a jointly owned entity with community physicians and the South Texas Physician Alliance. It operates with the premise that independent physician practices can deliver coordinated care effectively, enhancing quality, affordability, and patient experiences. The organization facilitates a virtual patient-centered medical home, aiming to meet patients' healthcare needs by promoting positive experiences and improving the coordination of care. Services include the structuring of healthcare partnerships to enable better healthcare delivery, collaborating with providers, ensuring patients receive the appropriate care at the right time, and maintaining patient access to Original Medicare benefits.",none,TRUE,https://www.buenavidaysalud.com/,
Capital Cardiology Associates,Capital Cardiology Associates,Healthcare Provider,3,Healthcare (specifically focused on kidney disease management and cost containment),"['Cardiology services including diagnostic', 'interventional', 'surgical', 'therapeutic', 'and preventative care for cardiovascular disease.']","Capital Cardiology Associates (CCA) is a leading healthcare provider specializing in cardiovascular care in the Capital Region. Established in 1980, CCA offers a comprehensive range of services that include diagnostic testing, interventional procedures, surgical options, therapeutic interventions, and preventative care aimed at treating cardiovascular diseases. CCA prides itself on having a team of over 35 board-certified cardiologists and more than 300 healthcare professionals dedicated to delivering high-quality care. The practice emphasizes patient accessibility through initiatives such as Enhanced Cardiac Access, which provides same-day evaluations for patients with potential cardiac symptoms. Their multiple locations, including walk-in cardiac clinics, ensure that urgent cardiac care is available when patients need it most.",1980,FALSE,https://www.capitalcardiology.com/,
XOMA Royalty,XOMA Royalty,Pharmaceutical,24,Healthcare / Medical Equipment,"['Biotech royalty aggregation', 'royalty and milestone payment acquisition for pre-commercial clinical candidates']","XOMA Royalty is a biotech royalty aggregator that plays a unique role in helping biotech companies achieve their goal of improving human health. The company focuses on acquiring the economic rights to future milestone and royalty payments associated with partnered pre-commercial clinical candidates. In return for these rights, sellers receive non-dilutive, non-recourse funding to advance their internal drug candidates. With a portfolio comprising over 70 assets, XOMA Royalty utilizes a portfolio approach to acquire new royalty assets, mitigating single-asset binary exposure while aiming to deliver shareholder value. Their services include the management of an expansive portfolio of licenses that provide rights to future potential royalty and milestone payments from drug candidates being developed by other pharmaceutical and biotech companies.",none,TRUE,https://www.xoma.com/,
Renalogic,IP2Location,Tech,14,Asset Management / Private Credit Markets,"['IP geolocation', 'IP database services']","IP2Location is a technology company that specializes in IP geolocation services. They provide a range of products that allow businesses to obtain detailed information about the geographical location of their website visitors based on IP addresses. Their services include various IP databases that can be utilized for purposes such as targeted advertising, fraud prevention, and compliance with regional regulations. IP2Location aims to enhance online experiences by allowing companies to tailor their content and services to users based on their geographical data.",none,TRUE,https://renalogic.com/,
WHITE CROSS,White Cross Healthcare Services,Healthcare Provider,3,Healthcare Technology / Remote Patient Monitoring,"['Homecare Packages', 'Medical Equipment Supply', 'Mobility Aids', 'Continence Products', 'Daily Living Aids', 'Patient Handling', 'Pressure Care', 'and more.']","White Cross Healthcare Services focuses on providing premium products and personalized service aimed at enhancing the independence, dignity, and peace of mind of its clients. Based in Geelong, the company is dedicated to supporting community members in leading more inclusive, enjoyable, and abundant lives. They offer a wide range of products including mobility aids, continence products, patient handling equipment, and daily living aids among others. Their services include equipment hire, delivery, maintenance, and tailored solutions to meet individual healthcare needs. The company prides itself on its expertise and trustworthy service, working closely with major suppliers to recommend personalized healthcare solutions.",none,TRUE,https://www.whitecross.com.au/,
Monroe Capital,Monroe Capital LLC,Finance,12,Semiconductor and Electronics,"['Private credit markets', 'direct lending', 'technology finance', 'venture debt', 'alternative credit', 'structured credit', 'real estate', 'and equity.']","Monroe Capital LLC is a premier asset management firm specializing in private credit markets, offering a wide range of capital solutions across various strategies. Since its inception in 2004, the firm has successfully provided financing to clients in the U.S. and Canada. Monroe focuses on being a user-friendly and value-added partner to business owners, management teams, and both private equity and independent sponsors. It offers a diversity of investment products tailored for institutional and high net worth investors, aiming to generate high-quality “alpha” returns irrespective of the economic cycle.",2004,TRUE,https://www.monroecap.com/,
Osaka Prefecture,none,none,199,Healthcare,['none'],none,none,TRUE,https://www.pref.osaka.lg.jp/en/,
Optimize Health,Optimize Health,Healthcare IT,203,Nonprofit/Healthcare,"['Remote Patient Monitoring', 'Chronic Care Management', 'Clinical Monitoring Services']","Optimize Health is a healthcare technology company focused on chronic disease management solutions. Their innovative products and services include remote patient monitoring (RPM) and chronic care management (CCM) that leverage real-time data from patient-friendly devices to optimize healthcare outcomes. Optimize Health aims to improve patient engagement and experience, increase revenue for healthcare providers, and streamline clinical workflows. Their offerings are tailored to various types of medical organizations and specialties, supporting a broad range of chronic conditions such as hypertension, diabetes, and COPD. The company emphasizes a patient-centric approach and provides expertise in navigating the complexities of healthcare revenue generation and operational efficiency.",none,TRUE,https://www.optimize.health/,
Ryoyo Electro,菱洋エレクトロ株式会社 (Ryoyo Electro Corporation),Electronics,31,Healthcare and Biotechnology,"['Semiconductor products', 'ICT', 'IoT/M2M', 'Healthcare solutions']","菱洋エレクトロ株式会社, established in 1961, specializes as a trading company for semiconductor products and offers a wide range of solutions in the fields of Information and Communication Technology (ICT), Internet of Things (IoT), and Healthcare. The company focuses on integrating advanced technologies to provide innovative products that enhance diagnostic accuracy and operational efficiency in healthcare. It is committed to creating high-value-added services and solutions that connect people, things, information, and businesses, thereby contributing to a smarter society.",1961,FALSE,http://www.ryoyo.co.jp/,
"Utsunomiya City, Tochigi Prefecture",Utsunomiya City,Government,13,Healthcare / Life Sciences,"['Healthcare services', 'Community engagement', 'Public health initiatives']","Utsunomiya City is a government entity responsible for providing a range of public services to the local community. The city focuses on healthcare services, including promoting public health initiatives and engaging with citizens through various programs. The city aims to improve the health and well-being of its residents by providing accessible healthcare services and fostering a collaborative environment for community development. It also coordinates various public health campaigns and initiatives to educate and inform the populace about health matters.",None,TRUE,https://www.city.utsunomiya.tochigi.jp,
Build Jakes Place,Build Jake's Place,Non-Profit Group,146,Healthcare / Life Sciences,"['All-inclusive playgrounds', 'advocacy for children and adults with special needs', 'community engagement through programs and volunteer opportunities.']","Build Jake's Place® is a non-profit organization dedicated to creating all-inclusive playgrounds that allow children and adults of all abilities to play and interact together. The organization has established a nationally ranked, award-winning playground located in Challenge Grove Park, Cherry Hill, NJ, as well as a newly redesigned location in Delran, NJ. Their mission is to provide play opportunities for individuals with special needs through advocacy, awareness initiatives, programming, and playground construction. They are committed to promoting inclusive play in New Jersey, supported by donations and community volunteers. Build Jake's Place is a registered 501(c)3 charity, and contributions help fund playgrounds and programs that positively impact the lives of those with special needs.",None,TRUE,https://www.buildjakesplace.org/,
"Rawlings Group, Varis",,,#N/A,,,,,TRUE,,
Lifebit Biotech Ltd,Lifebit,Genomics,50,Manufacturing / Automotive / Industrial Components,"['Genomics and health data software', 'data federation', 'trusted research environment', 'data transformation', 'disease surveillance', 'precision medicine']","Lifebit is a global leader in genomics and health data software, focused on solving challenging problems in precision medicine and healthcare. The company's mission is to eliminate barriers to access biomedical data, facilitating research and enabling the advancement of treatments through secure collaborations on distributed data. Lifebit's offerings include the Lifebit CloudOS, a comprehensive platform for managing clinico-genomic programs, and Lifebit REAL, which utilizes artificial intelligence for real-time insights in disease surveillance and drug identification. Additionally, Lifebit supports federated data collaborations to unlock insights from some of the largest biobanks globally, ultimately aiming for a significant impact on health outcomes.",none,TRUE,https://lifebit.ai/,
Innovate Life Sciences,Innovate Life Sciences,Genomics,50,Digital Health / Healthcare Technology,"['Precision Medicine', 'Next Generation Sequencing', 'Digital Spatial Profiling', 'Bioinformatics', 'Molecular Biology', 'Microarray Services']","Innovate Life Sciences is a leading genomics laboratory that specializes in delivering precision diagnostics and solutions through Next Generation Sequencing (NGS) and advanced bioinformatics services. The company provides a comprehensive suite of services, including nucleic acid extraction, library preparation, genome analysis, and biomarker identification. With state-of-the-art technologies like Illumina's NovaSeq, NextSeq, and MiSeq systems, Innovate Life Sciences helps clinicians and researchers drive improved clinical outcomes and enhance quality of life through actionable insights. The lab is certified under DHA/EIAC ISO 15189",none,TRUE,https://innovatelifesciences.org/,
Innovate Life Sciences,Innovate Life Science,Genomics,50,Marketing Agency,"['Precision Medicine', 'Next Generation Sequencing', 'Digital Spatial Profiling', 'Bioinformatics', 'Molecular Biology']","Innovate Life Science is a leading provider of precision diagnostics and solutions through Next Generation Sequencing (NGS) and bioinformatics services. The company specializes in delivering actionable insights to clinicians aimed at improving clinical outcomes and enhancing quality of life. Their offerings include comprehensive sequencing services that cover nucleic acid extraction, library preparation, and high-quality genome analysis. Innovate Life Science also employs advanced methodologies for biomarker discovery and employs state-of-the-art technology platforms such as Illumina’s NovaSeq and NextSeq systems. Additionally, the company provides a wide range of bioinformatics services to support researchers and pharma companies in data-driven decision-making. With a commitment to innovation and quality, Innovate Life Science plays a crucial role in advancing healthcare through its suite of cutting-edge technologies and collaborations.",none,TRUE,https://innovatelifesciences.org/,
Southeastern Medical Center,OhioHealth Southeastern Medical Center,Healthcare Provider,3,Healthcare,"['Cancer care', 'Emergency and trauma care', 'Heart and vascular', 'Imaging and radiology', 'Laboratory services', 'Maternity', 'Neuroscience', 'Orthopedics', 'Pain Management', 'Podiatry', 'Primary care', 'Rehabilitation and therapy', 'Sleep disorders', 'Sports medicine', 'Urology', 'Wound care']","OhioHealth Southeastern Medical Center is dedicated to providing quality, community-driven healthcare services in Cambridge, Ohio. As a member of the OhioHealth family, it offers a wide range of medical services including comprehensive cancer care, advanced cardiac services, maternity care, orthopedic treatments, and rehabilitation. The facility features specialized departments such as the John W. and Edna McManus Shepard Cancer Center and provides urgent and elective care for various health conditions. Their mission focuses on improving the lives of patients through quality experiences, initiatives, and education for effective support and treatment options. The center is equipped with advanced technology and a multidisciplinary team committed to delivering personalized care for the community.",1952,FALSE,https://www.ohiohealth.com/locations/hospitals/southeastern-medical-center,
NTN,Cloudflare,Tech,14,Healthcare Technology,"['Internet security', 'DDoS mitigation', 'content delivery network services']","Cloudflare provides internet security services, content delivery network (CDN) capabilities, and DDoS mitigation to protect websites from various online threats and attacks. The company's services help enhance the performance and security of online platforms, ensuring they run smoothly and remain accessible to users while mitigating risks associated with cybersecurity.",none,TRUE,https://www.ntn.co.jp/english/,
Max & Co.,,,#N/A,,,,,TRUE,https://world.maxandco.com/,
Topcon Healthcare Inc.,"Topcon Healthcare, Inc.",Digital Health Venture,206,"Healthcare, Military Health Services","['Digital healthcare solutions', 'Eye health technology', 'AI models for disease detection', 'Cloud-based health information platform']","Topcon Healthcare, Inc. is a digital health company focused on improving access and quality of healthcare while reducing costs. They implement ""Healthcare from the Eye,"" a strategy that utilizes AI models to analyze imaging data from the eye for earlier disease detection and better management. Their key products include the cloud-based Harmony® platform, which facilitates a connected care ecosystem, among a range of diagnostic equipment like the Maestro for eye imaging, OCT devices, fundus cameras, and more. Topcon Healthcare aims to empower eye care practitioners through innovative technology and solutions for enhanced patient care.",None,TRUE,https://www.topconhealth.com,
The Ward Marketing Group,The Ward Group,Advertising,54,Healthcare,"['Media buying', 'strategic execution', 'creative agency collaboration', 'digital marketing integration', 'partnership with marketing consultants and public relations firms.']","The Ward Group is a marketing agency that specializes in media planning and buying, offering comprehensive solutions through collaborative partnerships with various agencies and consultants. Since its inception in 1985, the company has focused on enhancing media strategy by combining creative ideation with strategic execution. The Ward Group supports creative agencies by ensuring that engaging content is effectively delivered to target audiences and partners with digital marketing agencies to integrate traditional media into digital-first strategies. Furthermore, the company collaborates with marketing consultants and public relations firms, providing expert media services to enhance their clients' marketing outcomes.",1985,FALSE,https://www.thewardgroup.media/partner,
Mount Sinai,Mount Sinai Health System,Healthcare Provider,3,Healthcare (Medical Devices),"['Acupuncture', 'Adolescent Medicine', 'Allergy and Immunology', 'Anesthesiology', 'Breast Cancer', 'Cancer (Oncology)', 'Cardiology', 'Cardiovascular Surgery', 'Dentistry', 'Ear', 'Nose', 'Throat (Otolaryngology)', 'Endocrinology', 'Diabetes and Metabolism', 'Gastroenterology', 'Genetics and Genomics', 'Geriatric Medicine', 'Hematology', 'Infectious Disease', 'Internal Medicine', 'Nephrology', 'Neurological/Neurosurgery', 'Neurology', 'Obstetrics and Gynecology', 'Occupational Medicine', 'Ophthalmology', 'Orthopaedic / Orthopaedic Surgery', 'Pain Management', 'Pediatrics', 'Plastic and Reconstructive Surgery', 'Podiatry', 'Preventive Medicine', 'Primary Care (Internal Medicine)', 'Psychology-PhD', 'Pulmonology/Sleep Medicine', 'Radiology', 'Rehabilitation and Physical Medicine', 'Rheumatology', 'Spine', 'Surgery', 'Transplant', 'Urology']","Mount Sinai Health System is a comprehensive healthcare provider located in New York City, committed to delivering world-class medical services and care across a wide range of specialties. The system encompasses multiple hospitals, outpatient facilities, and community locations, ensuring accessible healthcare to the population. Mount Sinai offers various services, including emergency care, primary care, surgery, cancer treatments, cardiovascular care, and behavioral health, among others. It also emphasizes research and education through the Icahn School of Medicine, contributing to advances in healthcare and medical practices. Notably, Mount Sinai is recognized for its commitment to diversity, equity, and inclusion, alongside achieving numerous accolades for its exceptional patient care and medical services.",none,TRUE,https://www.mountsinai.org/,
Prealize Health,Prealize Health,Healthcare IT,203,Healthcare,"['Predictive analytics', 'AI-powered insights', 'proactive healthcare', 'care management']","Prealize Health is an innovative company in the healthcare IT sector that specializes in predictive analytics. It offers an industry-leading predictive analytics platform that leverages AI to provide accurate predictions of when costly healthcare events are likely to occur. This unique solution enables healthcare organizations to transition from a reactive to a proactive approach, leading to improved health outcomes and reduced costs. Prealize's insights are notably 5 times more accurate than those of other solutions, and the platform can uncover significant future care costs that weren't previously identified. Their services emphasize enhancing digital engagement and proactive intervention, ultimately aiming to transform the delivery of healthcare.",none,TRUE,https://www.prealizehealth.com/,
U.S. Defense Health Agency,Defense Health Agency (DHA),Healthcare Provider,3,Digital Health / Healthcare Technology,"['Military health system', 'medical readiness', 'health care administration', 'health technology', 'health policy oversight']","The Defense Health Agency (DHA) is a joint, integrated Combat Support Agency that provides medical services to the Army, Navy, and Air Force. The agency aims to deliver a medically ready force and ready medical force to Combatant Commands during both peacetime and wartime. It operates with a budget of approximately $16.9 billion for military hospitals and clinics globally and manages the TRICARE health plan, which accounts for $18.5 billion. With a workforce of nearly 130,000 civilians and military personnel, DHA is dedicated to improving health care quality and readiness through various capabilities including medical logistics, health information technology, and medical research and training. Its mission is to ensure health and build readiness, providing extraordinary care and innovative health solutions to service members and their families anytime, anywhere.",2013,TRUE,https://www.health.mil/dha,
"National Cancer Center of Japan, Japanese pharmaceutical companies",National Cancer Center Japan,Healthcare Provider,3,Healthcare / Nonprofit,"['Cancer research', 'clinical trials', 'precision medicine', 'cancer genomics', 'advanced therapeutics.']","The National Cancer Center Japan is an integral part of Japan's healthcare system, focusing on the prevention, diagnosis, and treatment of cancer. It operates multiple facilities including the National Cancer Center Hospital and the National Cancer Center Research Institute. The Center conducts exploratory oncology research, facilitates clinical trials, and promotes cancer control initiatives. Noteworthy projects include the launch of innovative programs like the ""TMC Japan BioBridge / JACT Program"" and the development of a nationwide Clinical Trial Network aimed at enhancing precision medicine for cancer patients. The organization is also recognized for its contributions to scientific literature, as evidenced by the inclusion of its researchers in the ""Highly Cited Researchers 2024"" list.",none,TRUE,https://www.ncc.go.jp/en/,
Mercy,Mercy,Healthcare Provider,3,Healthcare Technology / Telehealth,"['Family Medicine', 'Internal Medicine', 'OB/GYN', 'Pediatrics', 'Cardiology']","Mercy is a healthcare organization dedicated to transforming the health and wellness of communities it serves for over 185 years. The company provides a wide range of medical services, including specialty care in family medicine, internal medicine, OB/GYN, pediatrics, and cardiology. Mercy operates hospitals, clinics, and offers a patient portal called MyMercy+ that allows users to connect with their care team, schedule appointments, access test results, and manage billing. The organization emphasizes on quality and safety in healthcare and has been recognized for its excellence in hospital care.",1834,FALSE,https://www.mercy.net,
TERASS,株式会社TERASS,Tech,14,Technology / Communication,['None'],"株式会社TERASS is a technology-driven company specializing in innovative solutions aimed at enhancing various services within its domain. The company offers a range of tech products and services that cater to modern challenges, focusing on delivering high-quality technological advancements to improve user experience and operational efficiency.",None,TRUE,https://terass.com/,
"TERASS Co., Ltd.",株式会社TERASS,Healthcare Provider,3,Technology / Communication,['none'],"株式会社TERASS is a healthcare provider focused on delivering innovative solutions to improve patient care and health outcomes. The company offers a range of services and products aimed at enhancing the efficiency of healthcare delivery, integrating technology to streamline operations, and providing better access to medical resources for patients. Through their expertise, they aim to foster a more holistic approach to health, prioritizing the needs of individuals and communities.",none,TRUE,https://terass.com/,
DVX Inc.,DVx Inc.,Medical Device,26,Venture Capital,['Advanced Medical Devices for Arrhythmia and Ischemia Therapy'],"DVx Inc. specializes in the development and distribution of advanced medical devices focused on therapies for arrhythmia and ischemia. The company offers a range of products including pacemakers, implantable cardioverter-defibrillators (ICDs), electrode catheters, ablation catheters, and proprietary devices like the RAQUOS, Resolution/Resolution SD, EPS TRAINER, and Wonder Belt. With a commitment to innovation and patient care, DVx Inc. aims to enhance therapeutic outcomes in the medical field.",none,TRUE,https://www.dvx.jp/en/index.html,
Best Defense Foundation,Best Defense Foundation,Foundation,34,Infrastructure Investment,"['Support for military veterans and their families', 'Battlefield Return programs', 'Education Initiative', 'Stronghold Transition Program']","The Best Defense Foundation is a nonprofit organization dedicated to honoring military veterans and supporting their families. It offers unique programs such as the Battlefield Return, which enables WWII veterans to revisit the battlefields where they served, providing them with recognition and closure. Additionally, the foundation runs educational initiatives to preserve the history of veterans' sacrifices through a video archive. The Stronghold Transition Program assists recently retired Special Forces operators by helping them navigate their transition to civilian life with necessary resources and support. Through donations, the foundation provides these impactful experiences and services at no cost to the veterans.",none,TRUE,https://www.bestdefensefoundation.org/,
Wisdo Health,Wisdo Health,Healthcare,198,Healthcare / Digital Health,['Community-driven health support'],"Wisdo Health is dedicated to promoting healthier days through the power of community. The company focuses on harnessing the collective strength and support of individuals to enhance well-being. Wisdo Health offers platforms and services that facilitate community engagement and support, aiming to provide users with resources and connections that empower them in their health journeys.",None,TRUE,https://www.wisdo.com/,
Amazon Health Services,,,#N/A,,,,,TRUE,,
"Topcon Korea Medical Co., Ltd.",Topcon Healthcare,Medical Device,26,Trade Promotion / Economic Development,"['Diagnostics', 'Examination Equipment', 'Software', 'Treatment/Surgical Equipment']",,None,TRUE,https://topconhealthcare.kr/,
Cesena FC,esellercafe,E-Commerce,32,Healthcare / Employee Assistance Programs,['None provided'],"esellercafe is an online platform designed for e-commerce, allowing users to explore various products and services. It serves as a marketplace where individuals can engage in buying and selling activities, making it a convenient option for consumers looking for diverse offerings in a digital environment. The platform is built on the WordPress framework, which enhances its functionality and user experience.",None,TRUE,https://www.cesenacalcio.it/,
Cenegenics,None,None,199,Healthcare & Medical Platforms / Technology,['None'],None,None,TRUE,https://www.cenegenics.com/,
The Metabolic Terrain Institute of Health,Metabolic Terrain Institute of Health,Non-Profit Group,146,Private Equity,"['Cancer Care', 'Metabolic Health', 'Patient Education', 'Research', 'Advocacy']",,none,TRUE,https://www.mtih.org/,
HealthLynked Corp.,HealthLynked,Healthcare Provider,3,Healthcare,"['Telehealth services', 'medical record management', 'personalized healthcare concierge services', 'prescription discounts']","HealthLynked is a nationwide provider network that offers a comprehensive solution for managing health needs. The platform enables users to access in-office or telemedicine appointments with doctors, centralizes all medical records for easy access, and provides discounted prescription services. It aims to simplify healthcare management through its user-friendly apps and services, which include scheduling assistance, personalized nurse guidance, and unlimited medical record storage. HealthLynked empowers members to have clarity and control over their healthcare journey, enhancing their overall health management experience.",none,TRUE,https://www.healthlynked.com/,
"Zoom Video Communications, Inc.",Zoom,Tech,14,Healthcare,"['Video conferencing', 'Online meetings', 'Webinars', 'and Collaboration tools']","Zoom is a tech company that offers a cloud-based video communication platform designed to facilitate virtual meetings, webinars, and collaborations. Its primary product is the Zoom Video Communications platform, which allows users to connect via high-quality video and audio in real-time. Additionally, Zoom provides various features, such as screen sharing, recording options, and integrations with other software, making it a favored choice for businesses, educational institutions, and individuals seeking effective remote communication solutions. Zoom's services have become integral to various sectors, especially in the context of increasing demand for remote connectivity solutions.",none,TRUE,https://zoom.us/,
"Zoom Video Communications, Inc.",Zoom,Tech,14,Food Production and Processing,"['Video conferencing', 'online meetings', 'webinars', 'and collaboration tools']","Zoom is a leading technology company that provides a robust video conferencing platform designed to facilitate remote communication and collaboration. The company offers a range of services that includes online meetings, webinars, and virtual event hosting, making it an essential tool for businesses, educational institutions, and individuals alike. With its user-friendly interface and high-quality video and audio capabilities, Zoom has become a go-to solution for virtual communication across the globe, enabling seamless connectivity regardless of geographical barriers.",none,TRUE,https://zoom.us,
ArcTern Ventures,ArcTern Ventures,Investor,205,Medical Services / Insurance Claims Management,"['Venture Capital', 'Climate Change Solutions', 'Sustainability', 'Earthtech']","ArcTern Ventures is a venture capital firm dedicated to investing in entrepreneurs who are focused on addressing some of humanity's greatest challenges, particularly in climate change and sustainability. The firm partners with bold founders to scale breakthrough solutions that not only respond to climate change but also generate significant financial returns. Their investment focus includes key sectors such as clean energy, energy efficiency, circular economy, advanced manufacturing, mobility, and food systems. With a hands-on approach and a global network, ArcTern aims to support startups that solve carbon problems and foster a sustainable global economy.",2012,TRUE,https://www.arcternventures.com/,
Global Infrastructure Partners,Global Infrastructure Partners,Finance,12,Healthcare Technology,"['Infrastructure investment', 'Energy', 'Digital infrastructure', 'Transportation', 'Water and Waste management']","Global Infrastructure Partners (GIP) is a leading infrastructure investor that specializes in investing in, owning, and operating some of the largest and most complex assets in the energy, transport, digital infrastructure, and water and waste management sectors. GIP focuses on decarbonization as a key element of its investment strategy, positioning itself to support the global energy transition. The company utilizes in-depth analysis and operational expertise to deliver consistent and attractive returns across its equity and debt investment strategies. GIP offers various funds, including flagship infrastructure equity funds and credit funds that provide customized capital solutions for infrastructure projects across various sectors.",2006,TRUE,http://www.global-infra.com,
"Protera Health, Henry Ford Health Innovations",Protera Health,Healthcare Provider,3,Technology (Quantum Security and Artificial Intelligence),"['Musculoskeletal care', 'Value-based care', 'Virtual orthopedic care']","Protera Health is the only virtual orthopedic integrated practice unit (IPU) on the market, designed by leading experts in value-based care to improve outcomes and reduce costs for musculoskeletal care. The company offers clinician-first digital solutions that integrate seamlessly into existing health plans and systems, enabling in-network billing. Protera Health focuses on addressing high musculoskeletal (MSK) costs by providing multidisciplinary, physician-led care and individualized treatment plans. Their services include front-line virtual care for MSK patients and connections to affiliated benefits and specialists when necessary. The founding team consists of orthopedic surgeons and value-based care experts, with a commitment to delivering clinical-grade care that prioritizes patient outcomes.",none,TRUE,https://www.proterahealth.com/,
"JETRO, ITO EN",ジェトロ（日本貿易振興機構）,Government,13,Trade Promotion / Economic Development,"['International trade support', 'market information', 'business consultation', 'export and investment support services']","ジェトロ (Japan External Trade Organization, JETRO) is a government-related organization that promotes international trade and investment. It provides comprehensive support to Japanese companies looking to expand their businesses overseas, offering services such as market research, consultation on trade regulations, promotional events, trade fairs, and matching potential business partners globally. JETRO collects and disseminates valuable business news, reports, and market insights through its extensive international network. Its mission includes enhancing the competitiveness of Japanese companies in global markets while fostering mutual understanding and commercial ties between Japan and other countries.",none,TRUE,https://www.jetro.go.jp/,
PeaceMind,PEACEMIND Inc.,Healthcare Provider,3,Healthcare / Employee Assistance Programs,"['Employee Assistance Program (EAP)', 'Stress Check-up Service', 'organizational analysis and consulting', 'training to improve productivity', 'personnel development', 'organizational management consulting and advisory services grounded in psychology and behavioral science', 'surveys and research', 'professional recruiting.']","PEACEMIND Inc. is dedicated to fostering a sustainable and healthy workplace by enhancing productivity and engagement. Founded in September 1998, their main business activities include offering Employee Assistance Programs, conducting stress check-up services, providing organizational analysis and consulting, and delivering training aimed at personnel development and organizational activation. The company specializes in organizational management consulting based on psychology and behavioral science, along with conducting surveys and research. Furthermore, they offer professional recruiting services. PEACEMIND aims to improve workplace dynamics through a comprehensive approach to mental health and organizational wellness.",1998,FALSE,https://www.peacemind.co.jp/en,
CBRE Korea,,,#N/A,,,,,TRUE,https://www.cbre.co.kr/,
